事業者名,国税庁登録名,登録番号,法人番号,住所
こっかいとしょかん,国立国会図書館,T1-0000-1100-0005,1000011000005,東京都千代田区永田町１丁目１０－１
ないかくほうせいきょく,内閣法制局,T1-0000-1201-0003,1000012010003,東京都千代田区霞が関３丁目１－１中央合同庁舎第４号館
ちゅうしょうきぎょうちょう,中小企業庁,T1-0000-1209-0004,1000012090004,東京都千代田区霞が関１丁目３－１
うんゆあんぜんいいんかい,運輸安全委員会,T1-0000-1210-0002,1000012100002,東京都新宿区四谷１丁目６－１
かんきょうしょう,環境省,T1-0000-1211-0001,1000012110001,東京都千代田区霞が関１丁目２－２中央合同庁舎第５号館
めぐろく,目黒区,T1-0000-2013-1105,1000020131105,東京都目黒区上目黒２丁目１９－１５
おおたく,大田区,T1-0000-2013-1113,1000020131113,東京都大田区蒲田５丁目１３－１４
せたがやく,世田谷区,T1-0000-2013-1121,1000020131121,東京都世田谷区世田谷４丁目２１－２７
かつしかく,葛飾区,T1-0000-2013-1229,1000020131229,東京都葛飾区立石５丁目１３－１
えどがわく,江戸川区,T1-0000-2013-1237,1000020131237,東京都江戸川区中央１丁目４－１
はちおうじし,八王子市,T1-0000-2013-2012,1000020132012,東京都八王子市元本郷町３丁目２４－１
ひのし,日野市,T1-0000-2013-2128,1000020132128,東京都日野市神明１丁目１２－１
ひがしむらやまし,東村山市,T1-0000-2013-2136,1000020132136,東京都東村山市本町１丁目２番地３
こくぶんじし,国分寺市,T1-0000-2013-2144,1000020132144,東京都国分寺市戸倉１丁目６－１
くにたちし,国立市,T1-0000-2013-2152,1000020132152,東京都国立市富士見台２丁目４７－１
はむらし,羽村市,T1-0000-2013-2276,1000020132276,東京都羽村市緑ヶ丘５丁目２－１
あきるのし,あきる野市,T1-0000-2013-2284,1000020132284,東京都あきる野市二宮３５０
にしとうきょうし,西東京市,T1-0000-2013-2292,1000020132292,東京都西東京市南町５丁目６－１３
みずほし,瑞穂町,T1-0000-2013-3035,1000020133035,東京都西多摩郡瑞穂町大字箱根ケ崎２３３５
ひのでまち,日の出町,T1-0000-2013-3051,1000020133051,東京都西多摩郡日の出町大字平井２７８０
としまむら,利島村,T1-0000-2013-3621,1000020133621,東京都利島村２４８
